Killer name,Sex,Race,Number of victims,Date of birth,Birth order,Physically attractive?,Physical defect?,Speech defect?,Physically abused? ,Psychologically abused?,Sexually abused?Animal torture,Fire setting,Bed wetting,Abused drugs?,Abused alcohol?,Been to a psychologist (prior to killing)?,Time in forensic hospital (prior to killing)?,Diagnosis,Rape?,Tortured victims?,Overkill?,Quick & efficient?,Used blindfold?,Bound the victims?,Sex with the body?,Mutilated body?,Ate part of the body?,Drank victim’s blood?,Posed the body?,Took totem – body part,Took totem – personal item,Robbed victim or location,"Left at scene, no attempt to hide","Left at scene, hidden","Left at scene, buried","Moved, no attempt to hide","Moved, buried",Cut-op and disposed of,"Moved, too home"
Copeland_David_-_spring_2006,Male,White,4 killed,5/15/1976,First,Very small for his age,none,none,,no,,no,no,Yes,Yes,,,Paranoid Schizophrenia and Personality Disorder,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Yes,No,No,No,No,No,No
Starrett_Danny__spring_2007_,Male,White,1 killed,September 25,Either 2nd or 3rd,Fairly,None documented,Yes,,"Not by anyone other than himself. Danny was very hard onhimself as a child.",,None documented,None documented,None documented,Yes,,,"Possible Atypical Paraphilia and possible MultiplePersonality Disorder",Yes,"Chained two victims at the ankle and placed them in hiscloset on separate occasions",No,Yes,"Put tape over one victims (Jeannie) sunglasses so she was notable to see where she was being held",Yes,"Oral and vaginal smears during autopsy showed positive forsemen (not clear if pre or post kill)",No,No,No,No,No,No,No,No,No,No,"Danny wrapped Jean McCrea’s body in a green blanket andtrash bags before dumping her into a creek bed near her homeof Irmo",No,No,
Conde_Rory__spring_2006_,Male,White,6,June 14,2nd of 2,Normal appearance,No,,,Supposed psychological abuse,,,,,,,,“Extreme mental or emotional disturbances”,Yes,Yes,No,Yes,,Yes,Yes,No,No,No,"Message written on third victim stating “Third. I will callDwight Chan. 10. See if you can catch me”",No,Yes,No,No,No,No,Yes,No,No,No
Pomeroy_Jesse__fall_2006_,Male,White,2 killed,November 29,Second born,No,Large body,No,,Yes,,No,No,No,No,,,,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Engleman_Glennon__fall_2007_,,,Suspected of 7,February 26,,Stockly built and attractive in spite of his round face,No,,,,,,,,,,,,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Possibly,Mostly,Pushed Eric Frey down a well.,No,No,No,No,No
Kimes_Sante,Female,White,5,07/ 24/ 1934,3rd of 4 children,,,,,,,,,No,Yes,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,,No
Jesperson_Keith_-_spring_06,Male,White,8,April 6,,Not really,no,no,,Yes,,Yes,No,Not noted,Not noted,,,Not noted,yes,no,no,Would often play games,No,No,No,Yes 1 victim-drug under his semi truck,No,No,No,No,No,No,No,No,No,No,Dropped off at random spot while making a delivery,No,No
Evonitz_Richard_Marc_-_2005,Male,White,Killed 3,July 29,1st of 3,Considered Average,No,No,,Yes,,No,No,Yes,Yes,,,Alcohol Abuse by military,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Would put the victim’s outer clothes back on,No,Yes,No,No,No,No,No,Yes,No,No
Rogers_Glen,Male,White,5 but Glen claims up to 70,July 15,6 of 7,Glen was physically attractive,None,None,,Yes – mother would repeatedly want to kill her children,,No,Until age 12,Cocaine heavily,Alcohol heavily,,,Porphyria and Chronic Psychotic Disturbance,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Joubert_John__2008_spring_,Male,White,3,07/02/1963,N/A,Yes,No,No,,"Was not allowed to see his father.  He did not have a rolemodel.  He grew to hate his mother because of this.",,No,No,No,No,,,He was said to be obsessive-compulsive,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,"The bodies were left near the scene in rural wooded areas.Although the bodies were hidden","The bodies were hidden near the scene in rural wooded areas.The method of dumping suggested that the killer was actingout of panic rather than experience.",No,"The bodies were found a few miles from where the abductiontook place",The bodies were moved,The bodies were cut with knife wounds,No
Durousseau_Paul__Fall_2006_,Male,Black,Suspected of 7,August 11,2nd of 2,Yes,No,No,,,,?,?,?,?,,,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Jewelry,Jewelry,2 left at scene,No,No,"3 Thrown in a ditch 1 of which was covered with blueblanket",1 Buried at construction site,No,No
Sapp_William,Male,White,4 (killed),March 22,Oldest,No,No,No,,Yes,,Yes; set a log cabin on fire,Yes,Yes- crack cocaine,Yes,Not prior,Not prior,Bipolar (manic-depressive) Disorder,Yes,Yes,Yes,No,No,No,With Phree Morrow,No,No,No,No,No,Yes,No,No,"Hid Morrow and Leach under two wooden planks andbrush",Buried Anderson in a garage floor,No,No,No,
Cannan_John,Male,White,Convicted of 1,February 20,2nd of 3,Yes,,,,Father harshly criticized,,,,Yes,Yes,,,,Yes,Yes,,,,Yes,No,No,No,No,No,No,No,No,Yes,,,,,,
Williams_Wayne__2012_,Male,African American,23 suspected,05/27/1958,1,No,No,No,,No,,No,No,No,No,No,No,N/A,No signs,Beaten,No,Yes,No,Some with rope,No,No,No,No,No,No,Took clothes,No,No,Yes,No,No,No,No,
Smith_Lemuel_-_2005,Male,African American,6,July 22,4th of 4,Yes,No,No,,"Gannon claims that Lemuel Smith was psychologicallyabused by his father in the form of constant sermonsTold by mother if he was bad Indians would come and takehim away",,No,No,Yes,Yes,,,"Diagnosed with Schizophrenia and borderline personalitydisorder",Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes in the case of Donna Payant,,No
Sells_Tommy_Lynn_-_2005,Male,White,Exact number unknown,June 28,Third of 7,No,No,No,,While living at his great-aunts house,,No,No,Yes,Yes,,,Bipolar; depressive disorder; severe opioid,Yes,No,Once,Yes,No,Some,No,Yes,No,No,No,No,At least once,At least once,Yes,Yes,Claimed-no bodies found,No,Two Moved,No,No
Campbell_Charles_-_2005,Male,White,3,October 21,2nd of 5,No,One testicle,No,,Charles was constantly being yelled and screamed at.,,No,No,Yes,Yes,,,,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No
Neal_Wiliam_Lee_Cody,Male,White,3 murders,October 7,Youngest,Yes,No,No,,Sisters would lie to the parents about things Neal would do,,N/A,N/A,No,No,No,No,N/A,Yes,No. Contrary to news reports,No,Yes,Either blanket over the head or came up from behind,Yes,No,Disconnected the skull from body; Urinated on victim,No,No,Yes,A piece of skull bone with hair attacked,N/A,Yes,Fite was in view on a chair,Holberton and Walters were put in plastic bags and tied up,No,No,No,No,
Fraser_Leonard__fall_2007_,Male,White,4,June 27,4th out of 5,Average,No,No,,,,No,N/A,Yes,Yes,,,Psychopath,Yes,No,Yes,No,,,,,,,,,,,,,,,,,
Greenwood_Vaughn_-_fall_2006,Male,African American,Suspected of 11,1944,,,,,,,,,,,,,,,No,No,No,,No,No,No,Yes. Bodies found bearing signs of ritualistic abuse,No,No,Bodies had cups of blood next to them,,,Yes,Yes,No,No,No,No,No,No
Krebs_Rex_Allen_-_2005,Male,White,2,January 28,Mother’s 2nd,Average,No,No,,Yes,,No,Yes,Yes,Yes,,,“primary difficulties with adolescent,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes (key chain,Yes (VCR,No,No,Yes (buried Rachel outside an abandoned house,No,Yes (killed Aundria at his house,No,Yes
Smithers_Samuel_L,Male,White,Two confirmed,January 30,,,,,,Yes,,Yes (as an adult),,,,,,,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes – thrown in the pond,No,No,No,No,No
Heirens_William_-_fall_2005,Male,White,Confessed 3 victims,November 15,1st of 2,Normal looking male,Lump on head at birth,No,,Had a hard time dealing with parents constant fighting,,Sexually excited by fires,NA,No,No,,,NA,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No
McDuff_Kenneth,Male,White,5 convicted of,March 21st,5th out of 5,Yes,No,No,,No,,N/A,N/A,Addiction to Crack Cocaine,"Yes (convicted for DUI and Drunk in Public) started at15.","Yes. Saw Special Education teacher in Elementary schoolfor behavior.",No,N/A,Yes,No,Yes. Continued strangling after dead,No,No,Certain ones,No,No,No,No,No,No,"Yes. Boy’s wallets...later buried.  German Crossnecklace off Louise.",Yes,No,Yes,No,No,Yes,,No
Moore_Blanche_Taylor__2012_,Female,White,4 suspected,February 17,5 of 7,Yes,,,,Yes,,,,,,,,,No,No,,Efficient but methodical,No,No,No,No,No,No,No,No,No,Collected insurance payouts,Yes,No,No,No,No,No,
Eaton_Dale_Wayne,Male,White,7 suspected,February 10,2,No,None mentioned,None mentioned,,Yes – by his father supposedly,,Unknown,Unknown,No,No,Yes,No,Depression,Yes 1st and 2nd degree sexual assault.,Not physically,No,Yes; knocked unconscious,Right before killing,Yes,No,No,No,No,No (in suspected,No,Yes; entire car,No,No,No,No (in suspected,No,No (yes,No,
Prince_Cleophus__fall_2006_,,,6,1967,,,,,,,,,,,,,,,No,Yes,Yes,No,,,No,,No,No,Smeared blood on breasts of victims,No,Jewelry,Yes,Yes,No,No,No,No,No,No
Mattson_Michael_Dee,Male,White,Five (3 murdered,July 23,Assuming first of four,Unknown,Unknown,None,,Yes,,Yes,Unknown,Yes,Yes,Yes,Unknown,"He might be responding to the type of behavior that hewas witnessing at home",Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes  – leaves placed over body,No,No,No,No,No
Straffen_John_Thomas__2008_spring_,Male,White,3,2/27/1930,3rd of 3,Average,Head trauma,No,,No,,No,No,No,No,,,Mental Defective,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Cook_William__2008_spring_,Male,White,3 got away,12/23/1928,5th,No “hard”,Yes,No,,Yes,,n/a,n/a,No,No,,,-------,No,No,No,Yes,,Yes only 1 victim,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes- dumped in abandoned mine shaft (Mosser family),No,No
Beets_Betty_Lou__spring_2007_,Female,White,2,03/27/1937,2,Yes,Hearing loss,Physical disability that contributes to speech disorder,,Yes,,No,No,No,Yes,,,Battered Women’s Syndrome,No,No,No (didn’t shoot more than three times),Yes,No,No,No,,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Sellers_Sean__2012_,,White,,5/18/1969,1 of 1,Yes,No,No,,Yes,,No,Yes,Yes,Yes,No,No,Multiple Personality Disorder,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
Bathory_Elizabeth_-_spring_2006,Female,White,600+,August 7,1st,To some yes,No,No,,,,Yes,Unknown,N/A,N/A,,,n/a,Yes,Yes,Yes,No,No,Yes,No,Yes,May have forced others to eat flesh,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No
Clark_Hadden__2005_,Male,White,2+ (2 were convicted,April 1951,2nd of 4,Yes,N/A,N/A,,"Parents were alcoholics who would physically fight in front of thechildren.  Father referred to Clark as a “retard” when drinking.Mother called him Kristen and made him wear girl clothes whiledrunk.",,No,N/A,N/A,Yes,,,Paranoid schizophrenic,Attempted on first victim after he murdered her but unsuccessful.,Yes,No,Yes,No,Yes (second victim),Tried for first victim after death but unsuccessful,No,Yes,Yes,No,No,Yes – mainly jewelry – From second victim: a crystal unicorn,Yes,No,No,No,No,Yes,No,
Unterweger_Jack__2008_spring_, then murdered,White,9-11,August 16,Only child,Not disadvantaged,None known,No,,Possibly by ‘alcoholic’ grandfather.,,None known,None known,Unknown,Unknown,,,"Declared a ‘sexually sadistic psychopath with narcissistic andhistrionic tendencies",No,One known case/ victim bludgeoned,No,Strangled with own article of clothing,No,Bruises and ligament marks on wrists,Yes - with sticks,No,No,No,Redressed certain victims,No,No,No,Yes- out in open,Yes- with few leaves,No,Yes- out in open,No,No,No
Sims_Paula,Female,White,2,May 21,Last of three  children,Yes,No,No,,Grandfather tormented  her  with threats of sexual assault,,No,No,Yes,Yes,No,No,N/A,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Loralei,No,,
Coleman_Alton_(fall_2006),Male,African-American,8,November 6,3rd of 5,Yes,No,N/A,,Yes,,No,Yes,Smoked marijuana occasionally,Drank occasionally,,,,Yes,Yes,Yes,No,No,Sometimes,No,No,No,No,No,No,No,Sometimes,Sometimes,Sometimes,No,Sometimes,No,No,No
Wardrip_Farion__spring_2007_,,,5,,First,No,No,No,,No,,,,Yes,Yes,,,N/A,Yes,Yes,Yes - multiple stab wounds,In some cases yes- but 2 of them were left for dead,No,Yes,No,No,No,No,No,No,No,No,Yes,No (but he hid some of the victims’ clothing),No,Sometimes,No,No,No
Chikatilo_Andrei__fall_2007_,,,52 +,,,No,"Yes he was nearsighted but was too afraid/embarrassed to tellanyone about it",No,,"Chikatilo was always mocked for his impotence and that peoplealways teased him all through his life",,No,Yes,No,No,,,Sane even though the court thought he was insane,Yes,Yes,Yes,"Sometimes but sometimes he would tortured the victim for awhile and kept them alive.",Yes,Yes,Yes,Yes,Yes the tips of tongues,No,No,No,No,No,No he would always try to hide or cover up the body,Yes,Yes,Yes he threw some of them in the river,Yes,Cut off body parts and would then stomp on them,No
Shore_Anthony_Allen__2008_spring_,Male,White,5,June 25,Oldest,Described as such,no,no,,Unable to make friends because of frequent,,No,Yes,Yes,Sometimes,,,Pedophile,Yes,Yes,No,Moderately,Sometimes,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yes,N/A,N/A,N/A,N/A,N/A,N/A
Pickton_Robert__2008_spring_,,,Convicted of 6,,,No,Never showered,n/a,,Neglected,,No,No,Crack cocaine,n/a,,,n/a,Yes,Yes,Yes,,No,Yes with wire and handcuffs,No,Yes,No,No,No,No because he grounded them up,No,n/a,n/a,n/a,n/a,n/a,n/a,Fed to pigs and used flesh for soil,
Barfield_Velma_-_2005_Fall, England: Onyx Printing.,,Suspected of 7,,,,,,,,,Yes,No,Yes,No,,,N/A,No,Victims suffered prolonged illness,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Took victims to hospital,No,No,No
Zani_Robert_Joseph,Male,White,3,2/26/1944,1st,Yes,No,No,,Yes,,No,No,Unknown,Unknown,No,No,N/A,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,He attempted to hide all 3 victims,No,Yes,Yes,Yes,Yes,
Dodd_Westley_Allan,Male,White,"He murdered 3 children and molested an estimated 170children",July 3,1st of 3,Yes,None,None,,"Dodd stated that his dad criticized a lot of what he did inschool and he could never live up to his dad’s expectations.He also states that his unhappiness stemmed from his parentsbickering and lack of emotional support.",,Unknown,Yes,Denies,Denies,,,Pedophilia,Yes,Yes-Lee Iseli,Lee Iseli,Yes,No,Yes,No,No,Had thoughts about it,No,No,No,"Took shoelaces used to tie Neer brothers together and LeeIseli’s underwear",No,Yes,No,No,Yes,No,No,No
Evans_Gary_-_fall_2005,Male,White,5 in 13 years and there is possibly more,October 7,2nd of 2,Yes,No,No,,Yes,,"YesHe set fire to Jennifer House Commons",Unknown,"NoHe hated people who did except for Lisa.  He believed drugdealers are no better than rapists or child molesters.","NoHe hated people who did except for Lisa.",,,Anti-Social Personality Disorder,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,,
Lockart_Michael_Lee__2012_,Male,White,3 murders,September 30,9th of 10,Yes,No,No,,No,,No,No,Yes,Yes,Yes,St. Charles Hospital,Depression,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,
Muhammad_John_Allen_-_2005,Male,African-American,13,December 31,First of 5 children,Average,None,None,,No,,No,No,No,No,,,Diagnosed as angry,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Hicks_James__2012_,Male,White,3 suspected,04/17/1951,Unknown,Yes,No,No,,No,,No,No,No,No,No,No,None,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,
Toppan_Jane_-_2005,Female,White (Irish),31,"There is confusion about Jane’s birth year: some sources say itwas 1854",Youngest of 3 known siblings.,No,No,No,,"Suffered shame and humiliation due to her Irish Catholicbackground by Ann Toppan.",,Yes,Unknown,None known,Some speculated intermittent drug use,,,Moral insanity/moral imbecility,Unknown,Yes,No,Yes,No,No,Unknown,No,No,No,No,No,No,Speculated that Jane took money or clothing from some victims,Yes,No,No,No,No,No,No
Blank_Daniel__spring_2006_,Male,White,6,1962,One of eight children,,,,,,,,,,,,,"Has a learning disability that hampers his verbal abilitiesand understanding of abstract concepts. Also diagnosed ashaving schizo-affective paranoia disorder",No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Colson_Robert__spring_2006_,,,5 (and unborn child),March 11,2nd of 2 (natural) 2nd of 3 (natural and adoptive),Yes,No,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Left at scene,No,No,No,No,No,
Gilyard_Lorenzo__fall_2006_,Male,Black,13 (known victims),05/24/1950,1st of 3,,No,No,,,,,,,,,,,"All but one of killings involved some type ofsexual assault",,,,,Some were bound with  or had something tied,No,No,No,No,Frequently,No,No evidence of this has been found,No,Yes,No,No,Yes,No,,
Hausner_Dale,Male,White,6 killed,02/04/1973,5th,Yes,No,No,,Unknown,,,,,,,,,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,
Kemper_Ed_-_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griffiths_Stephen,Male,White,3 convicted,12/24/1969,1st of 3,Yes,No,No,,Yes,,No,No,Yes,Yes,,Yes,Yes,No,,Yes,,No,One of the suspected victims,No,Yes,Yes,No,Yes,,,,No,No,No,No,"Suspected of hiding a body under the pavement outsideof his flat",Yes,
Debardeleben_Mike__fall_2007_,Male,White,3,March 20,2nd of 3,Described as “wimpy,Irregularity at the bridge of his nose from a childhood surgery,No,,Mother was alcoholic,,Yes,No,Yes,Yes,,,Sexual Sadist,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
Knorr_Theresa_Cross__fall_2007_,Female,White,3,March 14,Youngest,Attractive as a young woman,No,No,,No,,No,No,Yes,Yes,,,N/A,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Bunting_John_Justin,Male,White,11 victims,9/04/1966,1st born,No,He has no sense of smell when he was born.,No,,Yes; by his friend’s older brother,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,Yes; giving electric shocks to sensitive parts (generally,No,No,No,Yes,No,Yes; almost of the victims’ bodies were cut up with a,Bunting and Wagner fried up and ate parts of David,No,No,No,Yes; from each victim personal information was taken in,After each victim was murdered,Thomas Trevilyan was the one victim who was left at the,No,,No,,,
Coit_Jill_-_2005,Female,White,2 (William Coit Jr. in 1972 and Gerald W. Boggs in 1993),6/11/43 or 6/11/44.  She often lied about her age.,1 of 2,Yes,,No,,Unknown,,No,No,No- she was very health conscious,No- she never even tried alcohol,,,She was treated for acute hysteria and emotional distress,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes with both victims,No,No,Yes (first victim),No,No,No
Costa_Antone_-_spring_2006,Male,White,20 (convicted of 4 and information on 7),August 2,First,Somewhat,No,No,,No,,No,No,Yes,No,,,Schizoid personality,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No
Wuornos_Aileen__2008_spring_,Female,White,7,February 29,2nd child of 2,Had burns on face & arms,NA,NA,,NA,,Yes,No,No,Yes,,,NA,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No
Carignan_Harvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugan_Brian_James,Male,White,Suspected 5,September 23,2nd child of 5 children,yes,no,no,,His father verbally abused him.,,Yes,Yes,Yes,Yes,,,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes/No,Half hidden,Shallow grave,No,No,,No
Gacy_John_Wayne_-_2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
